,_lambda,mu_tlof,mu_charge,total_charge_rate,rho,num_parks,p_blocking,effective_lambda,eff_surface_rho,airspace_capacity,Lq,var_Lq,num_tlof
116,1,120,6,30,0.0333333333333333,5,5.732210767248752e-17,1.0,0.0333333333333333,100,0.0084034585607928,0.0084740834306959,1
117,1,120,6,36,0.0277777777777777,6,9.301268793799472e-17,1.0,0.0277777777777777,100,0.0084033644443785,0.0084739820475066,1
118,1,120,6,42,0.0238095238095238,7,1.4755652754348814e-16,1.0,0.0238095238095238,100,0.0084033614355132,0.0084739780287569,1
119,1,120,6,48,0.0208333333333333,8,-9.865646846555011e-17,1.0,0.0208333333333333,100,0.0084033613426782,0.0084739775768704,1
120,1,30,8,8,0.125,1,-1.1535911115245767e-16,1.0000000000000002,0.125,100,0.0722508590894221,0.0872920641901761,1
121,1,30,8,16,0.0625,2,-6.960577947356937e-17,1.0,0.0625,100,0.0365398094289287,0.0382013465973617,1
122,1,30,8,24,0.0416666666666666,3,-4.513330356149814e-17,1.0,0.0416666666666666,100,0.0346055779036087,0.0358171580416308,1
123,1,30,8,32,0.03125,4,-1.4539151133030612e-16,1.0000000000000002,0.03125,100,0.034489762504121,0.0356799522544376,1
124,1,30,8,40,0.025,5,9.530137096147584e-17,1.0,0.0249999999999999,100,0.0344831362142957,0.0356722530873258,1
125,1,30,8,48,0.0208333333333333,6,-8.690896852008022e-17,1.0,0.0208333333333333,100,0.0344827779869174,0.0356718413156612,1
126,1,30,8,56,0.0178571428571428,7,1.0804074648818052e-16,1.0,0.0178571428571428,100,0.0344827595828238,0.0356718209294469,1
127,1,30,8,64,0.015625,8,2.1618991319360958e-16,0.9999999999999998,0.0156249999999999,100,0.0344827586679664,0.0356718194196587,1
128,1,45,8,8,0.125,1,2.6064220226551527e-16,0.9999999999999998,0.1249999999999999,100,0.0528520996046921,0.0633293396498851,1
129,1,45,8,16,0.0625,2,2.5912431922403556e-17,1.0,0.0625,100,0.0241050908054966,0.0248896737541538,1
130,1,45,8,24,0.0416666666666666,3,2.445960101127298e-16,0.9999999999999998,0.0416666666666666,100,0.022794698939798,0.0233212314120076,1
131,1,45,8,32,0.03125,4,6.4015362021691e-17,1.0,0.0312499999999999,100,0.0227303695505393,0.0232472895744153,1
132,1,45,8,40,0.025,5,9.531492348863192e-17,1.0,0.0249999999999999,100,0.0227274051604139,0.0232439493417311,1
133,1,45,8,48,0.0208333333333333,6,-3.338665064897549e-16,1.0000000000000004,0.0208333333333333,100,0.0227272780365198,0.0232438071170597,1
134,1,45,8,56,0.0178571428571428,7,1.9621348816556414e-16,0.9999999999999998,0.0178571428571428,100,0.022727272929569,0.0232438018735153,1
135,1,45,8,64,0.015625,8,4.2825985813177425e-18,1.0,0.015625,100,0.0227272727289716,0.023243801324182,1
136,1,60,8,8,0.125,1,1.721713049906981e-16,0.9999999999999998,0.1249999999999999,100,0.0436468646947388,0.0523079645596766,1
137,1,60,8,16,0.0625,2,2.3310346708438345e-17,1.0,0.0625,100,0.0180508916321188,0.0185340362422579,1
138,1,60,8,24,0.0416666666666666,3,-7.930938891731465e-17,1.0,0.0416666666666666,100,0.0169970565375536,0.0172906338878716,1
